region,month,total_volume
Boise,2017-12,398794.24
Boise,2018-01,400113.77999999997
Boise,2018-02,425981.20999999996
Boise,2018-03,388664.57999999996
Boston,2015-01,1748752.35
Boston,2015-02,1866963.73
Boston,2015-03,2231136.7
Boston,2015-04,1841870.16
Boston,2015-05,2930761.19
Boston,2015-06,2363180.83
Boston,2015-07,2327482.26
Boston,2015-08,2959164.18
Boston,2015-09,2296679.34
Boston,2015-10,2313073.98
Boston,2015-11,2563906.6799999997
Boston,2015-12,2012020.24
Boston,2016-01,3176288.24
Boston,2016-02,2676761.27
Boston,2016-03,2582072.67
Boston,2016-04,2515102.9099999997
Boston,2016-05,3767928.6300000004
Boston,2016-06,2591285.14
Boston,2016-07,2701003.38
Boston,2016-08,2332596.8200000003
Boston,2016-09,2250777.01
Boston,2016-10,2243905.4
Boston,2016-11,1671201.49
Boston,2016-12,2062392.1099999999
Boston,2017-01,3113700.49
Boston,2017-02,2754265.95
Boston,2017-03,2279921.91
Boston,2017-04,3004461.4
Boston,2017-05,2547455.11
Boston,2017-06,2390173.0100000002
Boston,2017-07,3072344.23
Boston,2017-08,2246353.66
Boston,2017-09,2053448.52
Boston,2017-10,2416029.4
Boston,2017-11,2082591.16
Boston,2017-12,2649927.32
Boston,2018-01,3135741.22
Boston,2018-02,2715726.86
Boston,2018-03,2785537.88
BuffaloRochester,2015-01,448934.08
BuffaloRochester,2015-02,509748.99
BuffaloRochester,2015-03,589865.18
BuffaloRochester,2015-04,530246.58
BuffaloRochester,2015-05,718108.59
BuffaloRochester,2015-06,539155.9400000001
BuffaloRochester,2015-07,495633.14
BuffaloRochester,2015-08,394737.17
BuffaloRochester,2015-09,314871.61
BuffaloRochester,2015-10,427671.58
BuffaloRochester,2015-11,513009.54
BuffaloRochester,2015-12,411252.2
BuffaloRochester,2016-01,729784.0
BuffaloRochester,2016-02,618349.3099999999
BuffaloRochester,2016-03,615017.28
BuffaloRochester,2016-04,671611.77
BuffaloRochester,2016-05,890755.39
BuffaloRochester,2016-06,712402.71
BuffaloRochester,2016-07,737303.99
BuffaloRochester,2016-08,467225.68
BuffaloRochester,2016-09,490047.76
BuffaloRochester,2016-10,585427.55
BuffaloRochester,2016-11,327595.32
BuffaloRochester,2016-12,359591.25
BuffaloRochester,2017-01,771678.53
BuffaloRochester,2017-02,572249.75
BuffaloRochester,2017-03,628391.12
BuffaloRochester,2017-04,856402.3600000001
BuffaloRochester,2017-05,651209.19
BuffaloRochester,2017-06,526187.06
BuffaloRochester,2017-07,797320.9
BuffaloRochester,2017-08,632541.21
BuffaloRochester,2017-09,573530.44
BuffaloRochester,2017-10,561282.41
BuffaloRochester,2017-11,486617.12
BuffaloRochester,2017-12,682895.66
BuffaloRochester,2018-01,682148.0
BuffaloRochester,2018-02,682711.84
BuffaloRochester,2018-03,758958.2
California,2015-01,22920432.83
California,2015-02,27136965.05
California,2015-03,29837948.8
California,2015-04,22390827.22
California,2015-05,33034580.06
California,2015-06,25175395.44
California,2015-07,23404583.13
California,2015-08,28580804.3
California,2015-09,21248673.07
California,2015-10,19928057.44
California,2015-11,26589985.41
California,2015-12,21159180.36
California,2016-01,33482875.84
California,2016-02,30822251.6
California,2016-03,26283057.12
California,2016-04,26697041.23
California,2016-05,35840687.86
California,2016-06,27583891.49
California,2016-07,33050215.7
California,2016-08,26458531.96
California,2016-09,24917535.33
California,2016-10,23480940.13
California,2016-11,16143478.36
California,2016-12,21427876.29
California,2017-01,37480003.94
California,2017-02,31333222.27
California,2017-03,22079037.72
California,2017-04,29907496.52
California,2017-05,26762101.96
California,2017-06,27017832.45
California,2017-07,29974347.27
California,2017-08,20922086.56
California,2017-09,17707159.97
California,2017-10,22858592.87
California,2017-11,20981459.77
California,2017-12,30621186.91
California,2018-01,25153696.71
California,2018-02,31445376.87
California,2018-03,27142235.36
Charlotte,2015-01,656638.01
Charlotte,2015-02,776563.26
Charlotte,2015-03,900504.21
Charlotte,2015-04,760159.3099999999
Charlotte,2015-05,1081053.57
Charlotte,2015-06,817561.14
Charlotte,2015-07,775171.77
Charlotte,2015-08,935215.5599999999
Charlotte,2015-09,744351.75
Charlotte,2015-10,626248.22
Charlotte,2015-11,792903.25
Charlotte,2015-12,620973.37
Charlotte,2016-01,1048716.06
Charlotte,2016-02,952592.29
Charlotte,2016-03,857349.42
Charlotte,2016-04,854566.38
Charlotte,2016-05,1186152.55
Charlotte,2016-06,880917.33
Charlotte,2016-07,1080773.8699999999
Charlotte,2016-08,811566.9
Charlotte,2016-09,793291.19
Charlotte,2016-10,906641.26
Charlotte,2016-11,585897.07
Charlotte,2016-12,628256.68
Charlotte,2017-01,1142784.1300000001
Charlotte,2017-02,1042057.25
Charlotte,2017-03,870442.28
Charlotte,2017-04,1134819.31
Charlotte,2017-05,1026012.64
Charlotte,2017-06,898622.45
Charlotte,2017-07,1128490.49
Charlotte,2017-08,878176.0
Charlotte,2017-09,807888.79
Charlotte,2017-10,936742.73
Charlotte,2017-11,762520.6799999999
Charlotte,2017-12,1267033.65
Charlotte,2018-01,1146898.28
Charlotte,2018-02,1195798.93
Charlotte,2018-03,1243192.39
Chicago,2015-01,3183213.86
Chicago,2015-02,3407409.23
Chicago,2015-03,4095628.13
Chicago,2015-04,3243760.69
Chicago,2015-05,4441443.15
Chicago,2015-06,3356591.29
Chicago,2015-07,3382287.46
Chicago,2015-08,3982957.1
Chicago,2015-09,3140811.62
Chicago,2015-10,2844426.91
Chicago,2015-11,3637170.12
Chicago,2015-12,2779016.9699999997
Chicago,2016-01,4340165.72
Chicago,2016-02,3596771.48
Chicago,2016-03,3403166.56
Chicago,2016-04,3407276.5300000003
Chicago,2016-05,4867064.9
Chicago,2016-06,3547228.47
Chicago,2016-07,3786063.01
Chicago,2016-08,2633837.61
Chicago,2016-09,2568389.25
Chicago,2016-10,2500451.69
Chicago,2016-11,2191946.5300000003
Chicago,2016-12,2770274.27
Chicago,2017-01,4274111.1
Chicago,2017-02,4060390.38
Chicago,2017-03,2857329.85
Chicago,2017-04,3903375.76
Chicago,2017-05,3490702.73
Chicago,2017-06,3476811.63
Chicago,2017-07,4302367.25
Chicago,2017-08,2703545.51
Chicago,2017-09,2418168.57
Chicago,2017-10,2858845.0700000003
Chicago,2017-11,2272688.22
Chicago,2017-12,4362418.28
Chicago,2018-01,3668744.2800000003
Chicago,2018-02,4386337.5200000005
Chicago,2018-03,3559149.81
CincinnatiDayton,2015-01,859518.71
CincinnatiDayton,2015-02,883600.63
CincinnatiDayton,2015-03,1117091.04
CincinnatiDayton,2015-04,887848.68
CincinnatiDayton,2015-05,1252445.76
CincinnatiDayton,2015-06,987177.18
CincinnatiDayton,2015-07,968264.32
CincinnatiDayton,2015-08,1171706.76
CincinnatiDayton,2015-09,914047.63
CincinnatiDayton,2015-10,881140.9199999999
CincinnatiDayton,2015-11,1048458.83
CincinnatiDayton,2015-12,784875.54
CincinnatiDayton,2016-01,1182598.3800000001
CincinnatiDayton,2016-02,1000593.1699999999
CincinnatiDayton,2016-03,955942.92
CincinnatiDayton,2016-04,908170.1799999999
CincinnatiDayton,2016-05,1396579.39
CincinnatiDayton,2016-06,1218218.07
CincinnatiDayton,2016-07,1490062.09
CincinnatiDayton,2016-08,1149039.24
CincinnatiDayton,2016-09,1152036.0
CincinnatiDayton,2016-10,1398481.94
CincinnatiDayton,2016-11,983431.11
CincinnatiDayton,2016-12,1185713.8900000001
CincinnatiDayton,2017-01,1719735.85
CincinnatiDayton,2017-02,1455220.9
CincinnatiDayton,2017-03,1170044.29
CincinnatiDayton,2017-04,1306954.5999999999
CincinnatiDayton,2017-05,1485261.3599999999
CincinnatiDayton,2017-06,1413311.24
CincinnatiDayton,2017-07,1351939.69
CincinnatiDayton,2017-08,1098477.71
CincinnatiDayton,2017-09,841819.46
CincinnatiDayton,2017-10,1008793.77
CincinnatiDayton,2017-11,1098969.85
CincinnatiDayton,2017-12,1196149.18
CincinnatiDayton,2018-01,1216649.8599999999
CincinnatiDayton,2018-02,1227568.29
CincinnatiDayton,2018-03,1154069.14
Columbus,2015-01,534825.83
Columbus,2015-02,581592.85
Columbus,2015-03,767369.14
Columbus,2015-04,609504.92
Columbus,2015-05,909698.95
Columbus,2015-06,704182.3200000001
Columbus,2015-07,657157.49
Columbus,2015-08,769385.71
Columbus,2015-09,630146.33
Columbus,2015-10,552757.68
Columbus,2015-11,635626.86
Columbus,2015-12,497534.04
Columbus,2016-01,903637.12
Columbus,2016-02,707091.42
Columbus,2016-03,646298.38
Columbus,2016-04,730975.23
Columbus,2016-05,1075310.95
Columbus,2016-06,754040.37
Columbus,2016-07,941466.99
Columbus,2016-08,687708.25
Columbus,2016-09,697885.63
Columbus,2016-10,719696.84
Columbus,2016-11,522474.0
Columbus,2016-12,672881.35
Columbus,2017-01,1039804.39
Columbus,2017-02,953566.74
Columbus,2017-03,675865.62
Columbus,2017-04,1065207.85
Columbus,2017-05,889632.1699999999
Columbus,2017-06,972175.5399999999
Columbus,2017-07,1025271.09
Columbus,2017-08,763448.17
Columbus,2017-09,539181.3
Columbus,2017-10,658504.19
Columbus,2017-11,746491.78
Columbus,2017-12,911063.93
Columbus,2018-01,892914.1900000001
Columbus,2018-02,971673.28
Columbus,2018-03,979312.53
DallasFtWorth,2015-01,4360934.78
DallasFtWorth,2015-02,4784750.41
DallasFtWorth,2015-03,6132194.98
DallasFtWorth,2015-04,4876449.33
DallasFtWorth,2015-05,6413475.28
DallasFtWorth,2015-06,5292012.93
DallasFtWorth,2015-07,4892327.39
DallasFtWorth,2015-08,5610989.87
DallasFtWorth,2015-09,4752506.61
DallasFtWorth,2015-10,4254328.0
DallasFtWorth,2015-11,4912484.97
DallasFtWorth,2015-12,4028854.08
DallasFtWorth,2016-01,5373593.93
DallasFtWorth,2016-02,5145356.65
DallasFtWorth,2016-03,5140859.09
DallasFtWorth,2016-04,5674783.47
DallasFtWorth,2016-05,7136646.79
DallasFtWorth,2016-06,5246815.91
DallasFtWorth,2016-07,6006044.890000001
DallasFtWorth,2016-08,5083855.74
DallasFtWorth,2016-09,5328693.649999999
DallasFtWorth,2016-10,5118949.67
DallasFtWorth,2016-11,3642146.18
DallasFtWorth,2016-12,4797503.91
DallasFtWorth,2017-01,6774932.82
DallasFtWorth,2017-02,5827729.1899999995
DallasFtWorth,2017-03,4819994.3100000005
DallasFtWorth,2017-04,7263043.23
DallasFtWorth,2017-05,5570356.0
DallasFtWorth,2017-06,5579380.42
DallasFtWorth,2017-07,6604026.33
DallasFtWorth,2017-08,4854189.54
DallasFtWorth,2017-09,4059235.33
DallasFtWorth,2017-10,4909066.91
DallasFtWorth,2017-11,4128875.88
DallasFtWorth,2017-12,5850152.75
DallasFtWorth,2018-01,5440742.71
DallasFtWorth,2018-02,6582724.29
DallasFtWorth,2018-03,6148278.33
Denver,2015-01,2956418.8200000003
Denver,2015-02,3379946.15
Denver,2015-03,3517609.2600000002
Denver,2015-04,3129462.62
Denver,2015-05,3668814.66
Denver,2015-06,3080883.02
Denver,2015-07,3151813.65
Denver,2015-08,3526978.69
Denver,2015-09,3031726.64
Denver,2015-10,3104847.18
Denver,2015-11,3790982.71
Denver,2015-12,2850860.02
Denver,2016-01,5940193.47
Denver,2016-02,4475549.399999999
Denver,2016-03,3508344.48
Denver,2016-04,3836297.44
Denver,2016-05,5135326.06
Denver,2016-06,3414654.93
Denver,2016-07,3919481.29
Denver,2016-08,2984577.99
Denver,2016-09,3234281.52
Denver,2016-10,3375855.8
Denver,2016-11,2274071.09
Denver,2016-12,3209128.58
Denver,2017-01,4566796.34
Denver,2017-02,3802688.72
Denver,2017-03,2855959.2399999998
Denver,2017-04,3977168.13
Denver,2017-05,3644575.22
Denver,2017-06,3588339.6
Denver,2017-07,4252698.26
Denver,2017-08,3128535.2399999998
Denver,2017-09,2300675.4
Denver,2017-10,3219535.68
Denver,2017-11,3094388.29
Denver,2017-12,4127717.0
Denver,2018-01,3746748.87
Denver,2018-02,4312530.76
Denver,2018-03,3786073.77
Detroit,2015-01,1301706.68
Detroit,2015-02,1343855.37
Detroit,2015-03,1728060.5
Detroit,2015-04,1429438.57
Detroit,2015-05,1979903.08
Detroit,2015-06,1616108.98
Detroit,2015-07,1429738.75
Detroit,2015-08,1845642.02
Detroit,2015-09,1403935.26
Detroit,2015-10,1288749.68
Detroit,2015-11,1466573.94
Detroit,2015-12,1145866.51
Detroit,2016-01,2021555.94
Detroit,2016-02,1562646.67
Detroit,2016-03,1546783.17
Detroit,2016-04,1487661.49
Detroit,2016-05,2045260.2
Detroit,2016-06,1775687.17
Detroit,2016-07,1773024.06
Detroit,2016-08,1456107.19
Detroit,2016-09,1341182.8900000001
Detroit,2016-10,1297651.53
Detroit,2016-11,1056247.45
Detroit,2016-12,1543650.74
Detroit,2017-01,2397348.29
Detroit,2017-02,2233718.85
Detroit,2017-03,1305819.72
Detroit,2017-04,1624877.12
Detroit,2017-05,1797852.41
Detroit,2017-06,1829919.8099999998
Detroit,2017-07,1991733.9
Detroit,2017-08,1448779.58
Detroit,2017-09,1035474.17
Detroit,2017-10,1279773.8699999999
Detroit,2017-11,1510397.15
Detroit,2017-12,2056729.32
Detroit,2018-01,1905341.24
Detroit,2018-02,2207123.54
Detroit,2018-03,1910492.57
GrandRapids,2015-01,741810.3
GrandRapids,2015-02,711740.5900000001
GrandRapids,2015-03,1001270.05
GrandRapids,2015-04,810003.04
GrandRapids,2015-05,1012287.62
GrandRapids,2015-06,836611.65
GrandRapids,2015-07,730285.33
GrandRapids,2015-08,1010761.78
GrandRapids,2015-09,780462.8099999999
GrandRapids,2015-10,686308.85
GrandRapids,2015-11,802866.2
GrandRapids,2015-12,616534.93
GrandRapids,2016-01,1048564.65
GrandRapids,2016-02,800204.24
GrandRapids,2016-03,845690.5800000001
GrandRapids,2016-04,834198.59
GrandRapids,2016-05,1114403.56
GrandRapids,2016-06,890610.15
GrandRapids,2016-07,739525.73
GrandRapids,2016-08,576891.78
GrandRapids,2016-09,562331.08
GrandRapids,2016-10,570071.9400000001
GrandRapids,2016-11,454062.46
GrandRapids,2016-12,710317.0299999999
GrandRapids,2017-01,1146479.94
GrandRapids,2017-02,963147.7999999999
GrandRapids,2017-03,571075.9199999999
GrandRapids,2017-04,774492.21
GrandRapids,2017-05,725954.26
GrandRapids,2017-06,713528.86
GrandRapids,2017-07,835479.76
GrandRapids,2017-08,557763.13
GrandRapids,2017-09,486369.22
GrandRapids,2017-10,560214.88
GrandRapids,2017-11,481329.4
GrandRapids,2017-12,938622.2799999999
GrandRapids,2018-01,853008.3099999999
GrandRapids,2018-02,960631.5
GrandRapids,2018-03,755823.52
GreatLakes,2015-01,12622567.95
GreatLakes,2015-02,13307409.040000001
GreatLakes,2015-03,16689795.05
GreatLakes,2015-04,13336061.78
GreatLakes,2015-05,18438433.72
GreatLakes,2015-06,14477172.17
GreatLakes,2015-07,13767110.68
GreatLakes,2015-08,16745993.1
GreatLakes,2015-09,13236934.18
GreatLakes,2015-10,11764532.63
GreatLakes,2015-11,14060531.77
GreatLakes,2015-12,10941433.08
GreatLakes,2016-01,18159292.79
GreatLakes,2016-02,14904890.35
GreatLakes,2016-03,14348742.11
GreatLakes,2016-04,14479132.799999999
GreatLakes,2016-05,20885929.77
GreatLakes,2016-06,15842803.25
GreatLakes,2016-07,17452420.43
GreatLakes,2016-08,12713314.66
GreatLakes,2016-09,12492331.82
GreatLakes,2016-10,13215176.88
GreatLakes,2016-11,10104549.02
GreatLakes,2016-12,13141445.99
GreatLakes,2017-01,21273803.71
GreatLakes,2017-02,18528294.37
GreatLakes,2017-03,12965739.02
GreatLakes,2017-04,17430477.94
GreatLakes,2017-05,16791257.15
GreatLakes,2017-06,16667147.74
GreatLakes,2017-07,18788662.31
GreatLakes,2017-08,13218662.6
GreatLakes,2017-09,10639077.75
GreatLakes,2017-10,12498864.0
GreatLakes,2017-11,12350867.85
GreatLakes,2017-12,18201011.86
GreatLakes,2018-01,17146513.330000002
GreatLakes,2018-02,19165280.79
GreatLakes,2018-03,16848883.85
HarrisburgScranton,2015-01,781660.22
HarrisburgScranton,2015-02,916912.77
HarrisburgScranton,2015-03,1046821.04
HarrisburgScranton,2015-04,903356.73
HarrisburgScranton,2015-05,1357944.26
HarrisburgScranton,2015-06,1055628.76
HarrisburgScranton,2015-07,972019.5
HarrisburgScranton,2015-08,1192992.94
HarrisburgScranton,2015-09,869347.28
HarrisburgScranton,2015-10,869240.6799999999
HarrisburgScranton,2015-11,942093.33
HarrisburgScranton,2015-12,729887.4
HarrisburgScranton,2016-01,1282734.01
HarrisburgScranton,2016-02,1090699.42
HarrisburgScranton,2016-03,1047903.78
HarrisburgScranton,2016-04,1001094.02
HarrisburgScranton,2016-05,1540713.3
HarrisburgScranton,2016-06,1093333.99
HarrisburgScranton,2016-07,1350716.38
HarrisburgScranton,2016-08,1087294.46
HarrisburgScranton,2016-09,1060142.47
HarrisburgScranton,2016-10,1029084.11
HarrisburgScranton,2016-11,740832.71
HarrisburgScranton,2016-12,800275.3
HarrisburgScranton,2017-01,1335879.83
HarrisburgScranton,2017-02,1149521.46
HarrisburgScranton,2017-03,1054846.15
HarrisburgScranton,2017-04,1296963.71
HarrisburgScranton,2017-05,1100374.47
HarrisburgScranton,2017-06,984660.0
HarrisburgScranton,2017-07,1203695.54
HarrisburgScranton,2017-08,958240.18
HarrisburgScranton,2017-09,878633.66
HarrisburgScranton,2017-10,1102147.28
HarrisburgScranton,2017-11,868341.68
HarrisburgScranton,2017-12,1211014.02
HarrisburgScranton,2018-01,1262005.09
HarrisburgScranton,2018-02,1360500.63
HarrisburgScranton,2018-03,1279306.1199999999
HartfordSpringfield,2015-01,1047975.44
HartfordSpringfield,2015-02,1124817.64
HartfordSpringfield,2015-03,1299503.52
HartfordSpringfield,2015-04,1059143.05
HartfordSpringfield,2015-05,1714786.6300000001
HartfordSpringfield,2015-06,1351360.75
HartfordSpringfield,2015-07,1265841.29
HartfordSpringfield,2015-08,1637412.86
HartfordSpringfield,2015-09,1125293.69
HartfordSpringfield,2015-10,1181074.23
HartfordSpringfield,2015-11,1349629.9100000001
HartfordSpringfield,2015-12,1005403.98
HartfordSpringfield,2016-01,1690220.12
HartfordSpringfield,2016-02,1464600.81
HartfordSpringfield,2016-03,1322611.08
HartfordSpringfield,2016-04,1197779.96
HartfordSpringfield,2016-05,2020565.92
HartfordSpringfield,2016-06,1321550.5799999998
HartfordSpringfield,2016-07,1415610.53
HartfordSpringfield,2016-08,1194750.35
HartfordSpringfield,2016-09,1144023.83
HartfordSpringfield,2016-10,1075572.29
HartfordSpringfield,2016-11,823198.61
HartfordSpringfield,2016-12,1027465.72
HartfordSpringfield,2017-01,1563958.05
HartfordSpringfield,2017-02,1468536.16
HartfordSpringfield,2017-03,1211996.76
HartfordSpringfield,2017-04,1461458.08
HartfordSpringfield,2017-05,1291003.79
HartfordSpringfield,2017-06,1182165.53
HartfordSpringfield,2017-07,1390975.6
HartfordSpringfield,2017-08,1026983.33
HartfordSpringfield,2017-09,990135.5900000001
HartfordSpringfield,2017-10,1280267.66
HartfordSpringfield,2017-11,1009343.35
HartfordSpringfield,2017-12,1445780.12
HartfordSpringfield,2018-01,1540894.23
HartfordSpringfield,2018-02,1447914.52
HartfordSpringfield,2018-03,1498931.9
Houston,2015-01,4164705.24
Houston,2015-02,4545007.99
Houston,2015-03,5407996.59
Houston,2015-04,4410965.52
Houston,2015-05,5928786.96
Houston,2015-06,5080823.19
Houston,2015-07,4401597.22
Houston,2015-08,4770678.9
Houston,2015-09,4169882.5100000002
Houston,2015-10,3880562.44
Houston,2015-11,4731609.39
Houston,2015-12,3894855.42
Houston,2016-01,5279083.430000001
Houston,2016-02,4582567.02
Houston,2016-03,4787782.95
Houston,2016-04,5291683.67
Houston,2016-05,6682770.53
Houston,2016-06,4806244.62
Houston,2016-07,5329828.2700000005
Houston,2016-08,4258903.640000001
Houston,2016-09,4898278.13
Houston,2016-10,4769578.96
Houston,2016-11,3440805.92
Houston,2016-12,4577259.29
Houston,2017-01,7013688.13
Houston,2017-02,6287073.81
Houston,2017-03,4309528.77
Houston,2017-04,8024456.99
Houston,2017-05,5963187.62
Houston,2017-06,5908745.97
Houston,2017-07,6411205.53
Houston,2017-08,4845434.75
Houston,2017-09,3985984.36
Houston,2017-10,5319208.0600000005
Houston,2017-11,4844660.82
Houston,2017-12,6179918.08
Houston,2018-01,6064766.79
Houston,2018-02,7590367.3
Houston,2018-03,6327383.02
Indianapolis,2015-01,603036.75
Indianapolis,2015-02,660230.06
Indianapolis,2015-03,799606.13
Indianapolis,2015-04,643037.1
Indianapolis,2015-05,863574.03
Indianapolis,2015-06,740012.4299999999
Indianapolis,2015-07,677115.67
Indianapolis,2015-08,751723.61
Indianapolis,2015-09,692662.39
Indianapolis,2015-10,588285.76
Indianapolis,2015-11,651742.22
Indianapolis,2015-12,518035.88
Indianapolis,2016-01,886038.35
Indianapolis,2016-02,812029.3
Indianapolis,2016-03,762437.64
Indianapolis,2016-04,772303.71
Indianapolis,2016-05,1094985.67
Indianapolis,2016-06,788928.05
Indianapolis,2016-07,952571.25
Indianapolis,2016-08,680720.16
Indianapolis,2016-09,638003.6900000001
Indianapolis,2016-10,729079.29
Indianapolis,2016-11,495877.3
Indianapolis,2016-12,551479.09
Indianapolis,2017-01,1070489.4000000001
Indianapolis,2017-02,900229.47
Indianapolis,2017-03,674544.73
Indianapolis,2017-04,984767.15
Indianapolis,2017-05,955543.67
Indianapolis,2017-06,904108.36
Indianapolis,2017-07,931035.9
Indianapolis,2017-08,713704.83
Indianapolis,2017-09,580977.18
Indianapolis,2017-10,675576.15
Indianapolis,2017-11,720131.08
Indianapolis,2017-12,890093.18
Indianapolis,2018-01,970827.34
Indianapolis,2018-02,1011565.1900000001
Indianapolis,2018-03,926282.27
Jacksonville,2015-01,467874.34
Jacksonville,2015-02,563432.63
Jacksonville,2015-03,695081.49
Jacksonville,2015-04,588306.57
Jacksonville,2015-05,835902.55
Jacksonville,2015-06,657862.53
Jacksonville,2015-07,621643.77
Jacksonville,2015-08,649677.5599999999
Jacksonville,2015-09,539611.61
Jacksonville,2015-10,494389.83999999997
Jacksonville,2015-11,593344.77
Jacksonville,2015-12,469349.02
Jacksonville,2016-01,808731.78
Jacksonville,2016-02,926193.06
Jacksonville,2016-03,708297.36
Jacksonville,2016-04,908911.55
Jacksonville,2016-05,1273169.45
Jacksonville,2016-06,773395.25
Jacksonville,2016-07,933234.86
Jacksonville,2016-08,738761.64
Jacksonville,2016-09,738316.42
Jacksonville,2016-10,701944.8200000001
Jacksonville,2016-11,514311.91
