Original,Encoded,Attribute
25-12-2016,139,Date
26-02-2017,140,Date
26-03-2017,141,Date
26-04-2015,142,Date
26-06-2016,143,Date
26-07-2015,144,Date
26-11-2017,145,Date
27-03-2016,146,Date
27-08-2017,147,Date
27-09-2015,148,Date
27-11-2016,149,Date
27-12-2015,150,Date
28-01-2018,151,Date
28-02-2016,152,Date
28-05-2017,153,Date
28-06-2015,154,Date
28-08-2016,155,Date
29-01-2017,156,Date
29-03-2015,157,Date
29-05-2016,158,Date
29-10-2017,159,Date
29-11-2015,160,Date
30-04-2017,161,Date
30-07-2017,162,Date
30-08-2015,163,Date
30-10-2016,164,Date
31-01-2016,165,Date
31-05-2015,166,Date
31-07-2016,167,Date
31-12-2017,168,Date
0.44,0,AveragePrice
0.46,1,AveragePrice
0.48,2,AveragePrice
0.49,3,AveragePrice
0.51,4,AveragePrice
0.52,5,AveragePrice
0.53,6,AveragePrice
0.54,7,AveragePrice
0.55,8,AveragePrice
0.56,9,AveragePrice
0.57,10,AveragePrice
0.58,11,AveragePrice
0.59,12,AveragePrice
0.6,13,AveragePrice
0.61,14,AveragePrice
0.62,15,AveragePrice
0.63,16,AveragePrice
0.64,17,AveragePrice
0.65,18,AveragePrice
0.66,19,AveragePrice
0.67,20,AveragePrice
0.68,21,AveragePrice
0.69,22,AveragePrice
0.7,23,AveragePrice
0.71,24,AveragePrice
0.72,25,AveragePrice
0.73,26,AveragePrice
0.74,27,AveragePrice
0.75,28,AveragePrice
0.76,29,AveragePrice
0.77,30,AveragePrice
0.78,31,AveragePrice
0.79,32,AveragePrice
0.8,33,AveragePrice
0.81,34,AveragePrice
0.82,35,AveragePrice
0.83,36,AveragePrice
0.84,37,AveragePrice
0.85,38,AveragePrice
0.86,39,AveragePrice
0.87,40,AveragePrice
0.88,41,AveragePrice
0.89,42,AveragePrice
0.9,43,AveragePrice
0.91,44,AveragePrice
0.92,45,AveragePrice
0.93,46,AveragePrice
0.94,47,AveragePrice
0.95,48,AveragePrice
0.96,49,AveragePrice
0.97,50,AveragePrice
0.98,51,AveragePrice
0.99,52,AveragePrice
1,53,AveragePrice
1.01,54,AveragePrice
1.02,55,AveragePrice
1.03,56,AveragePrice
1.04,57,AveragePrice
1.05,58,AveragePrice
1.06,59,AveragePrice
1.07,60,AveragePrice
1.08,61,AveragePrice
1.09,62,AveragePrice
1.1,63,AveragePrice
1.11,64,AveragePrice
1.12,65,AveragePrice
1.13,66,AveragePrice
1.14,67,AveragePrice
1.15,68,AveragePrice
1.16,69,AveragePrice
1.17,70,AveragePrice
1.18,71,AveragePrice
1.19,72,AveragePrice
1.2,73,AveragePrice
1.21,74,AveragePrice
1.22,75,AveragePrice
1.23,76,AveragePrice
1.24,77,AveragePrice
1.25,78,AveragePrice
1.26,79,AveragePrice
1.27,80,AveragePrice
1.28,81,AveragePrice
1.29,82,AveragePrice
1.3,83,AveragePrice
1.31,84,AveragePrice
1.32,85,AveragePrice
1.33,86,AveragePrice
1.34,87,AveragePrice
1.35,88,AveragePrice
1.36,89,AveragePrice
1.37,90,AveragePrice
1.38,91,AveragePrice
1.39,92,AveragePrice
1.4,93,AveragePrice
1.41,94,AveragePrice
1.42,95,AveragePrice
1.43,96,AveragePrice
1.44,97,AveragePrice
1.45,98,AveragePrice
1.46,99,AveragePrice
1.47,100,AveragePrice
1.48,101,AveragePrice
1.49,102,AveragePrice
1.5,103,AveragePrice
1.51,104,AveragePrice
1.52,105,AveragePrice
1.53,106,AveragePrice
1.54,107,AveragePrice
1.55,108,AveragePrice
1.56,109,AveragePrice
1.57,110,AveragePrice
1.58,111,AveragePrice
1.59,112,AveragePrice
1.6,113,AveragePrice
1.61,114,AveragePrice
1.62,115,AveragePrice
1.63,116,AveragePrice
1.64,117,AveragePrice
1.65,118,AveragePrice
1.66,119,AveragePrice
1.67,120,AveragePrice
1.68,121,AveragePrice
1.69,122,AveragePrice
1.7,123,AveragePrice
1.71,124,AveragePrice
1.72,125,AveragePrice
1.73,126,AveragePrice
1.74,127,AveragePrice
1.75,128,AveragePrice
1.76,129,AveragePrice
1.77,130,AveragePrice
1.78,131,AveragePrice
1.79,132,AveragePrice
1.8,133,AveragePrice
1.81,134,AveragePrice
1.82,135,AveragePrice
1.83,136,AveragePrice
1.84,137,AveragePrice
1.85,138,AveragePrice
1.86,139,AveragePrice
1.87,140,AveragePrice
1.88,141,AveragePrice
1.89,142,AveragePrice
1.9,143,AveragePrice
1.91,144,AveragePrice
1.92,145,AveragePrice
1.93,146,AveragePrice
1.94,147,AveragePrice
1.95,148,AveragePrice
1.96,149,AveragePrice
1.97,150,AveragePrice
1.98,151,AveragePrice
1.99,152,AveragePrice
2,153,AveragePrice
2.01,154,AveragePrice
2.02,155,AveragePrice
2.03,156,AveragePrice
2.04,157,AveragePrice
2.05,158,AveragePrice
2.06,159,AveragePrice
2.07,160,AveragePrice
2.08,161,AveragePrice
2.09,162,AveragePrice
2.1,163,AveragePrice
2.11,164,AveragePrice
2.12,165,AveragePrice
2.13,166,AveragePrice
2.14,167,AveragePrice
2.15,168,AveragePrice
2.16,169,AveragePrice
2.17,170,AveragePrice
2.18,171,AveragePrice
2.19,172,AveragePrice
2.2,173,AveragePrice
2.21,174,AveragePrice
2.22,175,AveragePrice
2.23,176,AveragePrice
2.24,177,AveragePrice
2.25,178,AveragePrice
2.26,179,AveragePrice
2.27,180,AveragePrice
2.28,181,AveragePrice
2.29,182,AveragePrice
2.3,183,AveragePrice
2.31,184,AveragePrice
2.32,185,AveragePrice
2.33,186,AveragePrice
2.34,187,AveragePrice
2.35,188,AveragePrice
2.36,189,AveragePrice
2.37,190,AveragePrice
2.38,191,AveragePrice
2.39,192,AveragePrice
2.4,193,AveragePrice
2.41,194,AveragePrice
2.42,195,AveragePrice
2.43,196,AveragePrice
2.44,197,AveragePrice
2.45,198,AveragePrice
2.46,199,AveragePrice
2.47,200,AveragePrice
2.48,201,AveragePrice
2.49,202,AveragePrice
2.5,203,AveragePrice
2.51,204,AveragePrice
2.52,205,AveragePrice
2.53,206,AveragePrice
2.54,207,AveragePrice
2.55,208,AveragePrice
2.56,209,AveragePrice
2.57,210,AveragePrice
2.58,211,AveragePrice
2.59,212,AveragePrice
2.6,213,AveragePrice
2.61,214,AveragePrice
2.62,215,AveragePrice
2.63,216,AveragePrice
2.64,217,AveragePrice
2.65,218,AveragePrice
2.66,219,AveragePrice
2.67,220,AveragePrice
2.68,221,AveragePrice
2.69,222,AveragePrice
2.7,223,AveragePrice
2.71,224,AveragePrice
2.72,225,AveragePrice
2.73,226,AveragePrice
2.74,227,AveragePrice
2.75,228,AveragePrice
2.76,229,AveragePrice
2.77,230,AveragePrice
2.78,231,AveragePrice
2.79,232,AveragePrice
2.8,233,AveragePrice
2.81,234,AveragePrice
2.82,235,AveragePrice
2.83,236,AveragePrice
2.84,237,AveragePrice
2.85,238,AveragePrice
2.86,239,AveragePrice
2.87,240,AveragePrice
2.88,241,AveragePrice
2.89,242,AveragePrice
2.9,243,AveragePrice
2.91,244,AveragePrice
2.92,245,AveragePrice
2.93,246,AveragePrice
2.94,247,AveragePrice
2.95,248,AveragePrice
2.96,249,AveragePrice
2.97,250,AveragePrice
2.99,251,AveragePrice
3,252,AveragePrice
3.03,253,AveragePrice
3.04,254,AveragePrice
3.05,255,AveragePrice
3.12,256,AveragePrice
3.17,257,AveragePrice
3.25,258,AveragePrice
NAN,259,AveragePrice
na,260,AveragePrice
nil,261,AveragePrice
,262,AveragePrice
conventional,0,type
organic,1,type
Albany,0,region
Atlanta,1,region
BaltimoreWashington,2,region
Boise,3,region
Boston,4,region
BuffaloRochester,5,region
California,6,region
Charlotte,7,region
Chicago,8,region
CincinnatiDayton,9,region
Columbus,10,region
DallasFtWorth,11,region
Denver,12,region
Detroit,13,region
GrandRapids,14,region
GreatLakes,15,region
HarrisburgScranton,16,region
HartfordSpringfield,17,region
Houston,18,region
Indianapolis,19,region
Jacksonville,20,region
LasVegas,21,region
LosAngeles,22,region
Louisville,23,region
MiamiFtLauderdale,24,region
Midsouth,25,region
Nashville,26,region
NewOrleansMobile,27,region
NewYork,28,region
Northeast,29,region
NorthernNewEngland,30,region
Orlando,31,region
Philadelphia,32,region
PhoenixTucson,33,region
Pittsburgh,34,region
Plains,35,region
Portland,36,region
RaleighGreensboro,37,region
RichmondNorfolk,38,region
Roanoke,39,region
Sacramento,40,region
SanDiego,41,region
SanFrancisco,42,region
Seattle,43,region
SouthCarolina,44,region
SouthCentral,45,region
Southeast,46,region
Spokane,47,region
StLouis,48,region
Syracuse,49,region
Tampa,50,region
TotalUS,51,region
West,52,region
WestTexNewMexico,53,region
