Date,region,4046,4225,4770,Total Volume
08-03-2015,Atlanta,1579.22,11705.02,0.0,16026.95
01-03-2015,Atlanta,1683.31,12002.83,0.0,16227.56
22-02-2015,Atlanta,1780.63,7973.37,0.0,10969.92
15-02-2015,Atlanta,1449.86,5216.4,0.0,7783.29
08-02-2015,Atlanta,1716.38,8656.15,0.0,13288.3
01-02-2015,Atlanta,1565.49,4210.72,0.0,7665.7
25-01-2015,Atlanta,1578.59,735.23,0.0,3047.38
18-01-2015,Atlanta,2138.51,989.4,0.0,4294.01
11-01-2015,Atlanta,1613.69,1207.72,0.0,3743.82
04-01-2015,Atlanta,1500.15,938.35,0.0,3846.69
27-12-2015,BaltimoreWashington,363.5,5263.2,318.34,14201.42
20-12-2015,BaltimoreWashington,504.11,4702.33,419.14,9296.03
13-12-2015,BaltimoreWashington,550.57,4510.99,337.45,12403.85
06-12-2015,BaltimoreWashington,432.82,4364.69,444.69,9717.55
29-11-2015,BaltimoreWashington,536.38,5920.71,432.48,10961.82
22-11-2015,BaltimoreWashington,587.25,6336.98,460.05,9576.59
15-11-2015,BaltimoreWashington,1133.05,4772.58,458.97,6884.09
08-11-2015,BaltimoreWashington,2700.66,2975.05,566.83,7159.03
01-11-2015,BaltimoreWashington,3323.3,4105.67,687.55,9421.09
25-10-2015,BaltimoreWashington,998.73,6750.34,768.94,11223.38
18-10-2015,BaltimoreWashington,772.28,6014.66,685.19,10215.96
11-10-2015,BaltimoreWashington,459.96,5639.91,597.61,9453.04
04-10-2015,BaltimoreWashington,451.99,6092.19,667.28,8857.68
27-09-2015,BaltimoreWashington,429.46,4774.78,616.56,7552.49
20-09-2015,BaltimoreWashington,1462.34,6346.51,519.67,11150.19
13-09-2015,BaltimoreWashington,1450.32,5418.35,698.25,11772.43
06-09-2015,BaltimoreWashington,2634.99,5041.08,717.8,14379.6
30-08-2015,BaltimoreWashington,2524.44,5164.04,715.02,12626.2
23-08-2015,BaltimoreWashington,4288.75,3541.08,635.31,11555.75
16-08-2015,BaltimoreWashington,4472.68,3521.79,864.71,10280.59
09-08-2015,BaltimoreWashington,3946.7,4109.96,836.42,13132.64
02-08-2015,BaltimoreWashington,3887.77,3335.55,719.46,11937.63
26-07-2015,BaltimoreWashington,3682.42,3166.87,599.98,8502.95
19-07-2015,BaltimoreWashington,2230.7,2168.87,649.81,8669.79
12-07-2015,BaltimoreWashington,4829.01,2707.82,759.55,8904.2
05-07-2015,BaltimoreWashington,6639.93,3113.54,902.49,12480.84
28-06-2015,BaltimoreWashington,5562.43,2728.68,882.13,11718.49
21-06-2015,BaltimoreWashington,5224.23,2873.85,713.71,10939.94
14-06-2015,BaltimoreWashington,5819.08,2943.69,956.31,13924.11
07-06-2015,BaltimoreWashington,5560.86,3115.87,1042.17,13808.71
31-05-2015,BaltimoreWashington,5802.91,3268.67,1060.5,12640.64
24-05-2015,BaltimoreWashington,6716.44,3800.9,993.22,17042.46
17-05-2015,BaltimoreWashington,6094.92,7358.76,3915.19,22470.42
10-05-2015,BaltimoreWashington,6023.88,2924.01,1128.81,14499.46
03-05-2015,BaltimoreWashington,6666.67,3755.62,1163.9,16396.29
26-04-2015,BaltimoreWashington,6339.49,3106.49,815.62,13466.97
19-04-2015,BaltimoreWashington,8223.03,3998.93,865.46,15852.99
12-04-2015,BaltimoreWashington,7671.04,3634.16,864.43,15999.82
05-04-2015,BaltimoreWashington,8144.98,3199.51,708.11,14551.96
29-03-2015,BaltimoreWashington,7578.28,3597.75,786.94,15847.83
22-03-2015,BaltimoreWashington,10883.75,4512.52,758.37,16507.0
15-03-2015,BaltimoreWashington,6527.12,3390.64,745.35,11586.41
08-03-2015,BaltimoreWashington,6590.46,3908.46,745.13,19053.84
01-03-2015,BaltimoreWashington,7386.79,4112.33,732.79,15923.18
22-02-2015,BaltimoreWashington,12844.54,5815.13,667.62,23920.36
15-02-2015,BaltimoreWashington,5709.5,3782.28,777.82,16335.15
08-02-2015,BaltimoreWashington,6050.1,4361.21,745.2,14898.15
01-02-2015,BaltimoreWashington,14635.12,8013.19,667.82,27929.74
25-01-2015,BaltimoreWashington,8097.26,5023.48,528.36,15387.74
18-01-2015,BaltimoreWashington,8148.89,4725.43,659.56,14057.45
11-01-2015,BaltimoreWashington,12258.26,7094.53,490.24,26008.88
04-01-2015,BaltimoreWashington,8040.64,6557.47,657.48,19137.28
27-12-2015,Boise,15.53,508.49,0.0,2272.26
20-12-2015,Boise,10.29,409.07,0.0,1807.57
13-12-2015,Boise,26.21,738.96,2.58,4054.49
06-12-2015,Boise,11.75,533.55,0.0,1286.83
29-11-2015,Boise,2.59,418.01,0.0,1047.42
22-11-2015,Boise,7.77,724.33,2.59,1000.86
15-11-2015,Boise,17.27,538.4,0.0,881.14
08-11-2015,Boise,12.99,732.62,0.0,1059.69
01-11-2015,Boise,2.6,1411.88,3.9,2767.88
25-10-2015,Boise,14.34,690.76,3.91,1106.41
18-10-2015,Boise,10.44,836.3,0.0,1169.26
11-10-2015,Boise,9.12,1160.59,0.0,1396.94
04-10-2015,Boise,11.69,1456.26,0.0,1802.83
27-09-2015,Boise,17.54,822.27,0.0,1137.03
20-09-2015,Boise,19.33,723.01,0.0,956.97
13-09-2015,Boise,10.31,856.71,0.0,996.79
06-09-2015,Boise,9.22,813.54,0.0,908.95
30-08-2015,Boise,8.98,2789.26,0.0,3103.71
23-08-2015,Boise,7.69,794.15,0.0,937.64
16-08-2015,Boise,5.12,1894.81,0.0,2649.76
09-08-2015,Boise,21.74,1098.33,0.0,1656.67
02-08-2015,Boise,12.8,972.43,0.0,1196.53
26-07-2015,Boise,26.92,1201.02,0.0,1555.89
19-07-2015,Boise,37.26,2527.06,0.0,3103.11
12-07-2015,Boise,7.73,1091.29,0.0,1454.28
05-07-2015,Boise,11.65,1359.32,0.0,1594.45
28-06-2015,Boise,15.62,2464.53,0.0,2550.15
21-06-2015,Boise,6.54,1657.53,0.0,1921.75
14-06-2015,Boise,19.66,1161.32,0.0,1402.21
07-06-2015,Boise,2.63,1262.37,0.0,1381.67
31-05-2015,Boise,19.2,2374.26,0.0,2693.46
24-05-2015,Boise,45.07,1108.3,0.0,1274.53
17-05-2015,Boise,22.86,1010.43,0.0,1178.2
10-05-2015,Boise,25.6,959.24,0.0,1404.65
03-05-2015,Boise,22.12,737.88,0.0,1403.79
26-04-2015,Boise,9.05,1579.24,0.0,2154.49
19-04-2015,Boise,5.14,1138.32,0.0,1453.59
12-04-2015,Boise,5.11,3290.24,0.0,3807.38
05-04-2015,Boise,6.35,1216.07,0.0,1701.31
29-03-2015,Boise,8.82,3776.05,0.0,3933.04
22-03-2015,Boise,1.25,3429.16,0.0,3570.83
15-03-2015,Boise,0.0,1209.68,0.0,1777.09
08-03-2015,Boise,9.95,3799.34,0.0,4314.45
01-03-2015,Boise,2.48,945.45,0.0,1396.48
22-02-2015,Boise,1.24,813.03,0.0,1081.18
15-02-2015,Boise,11.21,891.63,0.0,1308.88
08-02-2015,Boise,13.74,2832.21,0.0,3870.67
01-02-2015,Boise,0.0,999.31,0.0,1780.76
25-01-2015,Boise,1.26,858.4,0.0,1174.53
18-01-2015,Boise,8.83,2513.36,0.0,2973.94
11-01-2015,Boise,0.0,1923.4,0.0,2378.68
04-01-2015,Boise,1.27,1129.5,0.0,1505.12
27-12-2015,Boston,9.65,775.99,39.82,7986.08
20-12-2015,Boston,26.64,511.07,61.76,7939.48
13-12-2015,Boston,18.24,434.18,251.75,8563.97
06-12-2015,Boston,37.55,466.83,0.0,8286.37
29-11-2015,Boston,11.37,388.1,0.0,6869.81
22-11-2015,Boston,71.07,394.69,0.0,7668.48
15-11-2015,Boston,6.99,534.36,0.0,8779.47
08-11-2015,Boston,13.29,486.67,0.0,7507.69
01-11-2015,Boston,14.71,574.96,0.0,7166.04
25-10-2015,Boston,11.38,407.12,0.0,8471.24
18-10-2015,Boston,19.93,488.69,0.0,6986.04
11-10-2015,Boston,12.33,386.4,0.0,7698.58
04-10-2015,Boston,14.4,647.58,0.0,8186.26
27-09-2015,Boston,15.19,758.31,0.0,2023.36
20-09-2015,Boston,16.17,1123.97,0.0,2623.42
13-09-2015,Boston,13.63,1299.4,0.0,3283.74
06-09-2015,Boston,57.99,1242.5,0.0,3343.86
30-08-2015,Boston,20.81,1081.19,0.0,2633.6
23-08-2015,Boston,41.2,1201.46,0.0,3080.47
16-08-2015,Boston,297.3,1041.09,0.0,2694.61
09-08-2015,Boston,185.35,1066.42,0.0,2955.27
02-08-2015,Boston,116.22,1353.43,0.0,3357.29
26-07-2015,Boston,99.25,1956.83,0.0,3367.46
19-07-2015,Boston,18.63,2152.1,0.0,3388.25
12-07-2015,Boston,19.61,1646.24,0.0,2763.5
05-07-2015,Boston,2.0,1530.03,0.0,3135.77
28-06-2015,Boston,13.15,1625.69,0.0,3045.1
21-06-2015,Boston,82.6,1124.34,0.0,2662.63
14-06-2015,Boston,71.77,1018.87,0.0,2943.18
07-06-2015,Boston,67.78,1199.74,0.0,3641.0
31-05-2015,Boston,45.51,1123.51,0.0,4235.93
24-05-2015,Boston,28.09,1052.29,0.0,3507.89
17-05-2015,Boston,54.38,1651.19,0.0,4366.74
10-05-2015,Boston,76.25,1275.48,0.0,3428.91
03-05-2015,Boston,20.35,1934.87,0.0,4123.17
26-04-2015,Boston,4.29,956.52,0.0,3517.6
19-04-2015,Boston,13.06,912.2,0.0,2696.21
12-04-2015,Boston,44.38,915.97,0.0,3619.27
05-04-2015,Boston,75.42,932.58,0.0,3202.71
29-03-2015,Boston,22.27,745.34,0.0,2121.96
22-03-2015,Boston,6.36,1119.46,0.0,2763.26
15-03-2015,Boston,19.04,904.23,0.0,1965.57
08-03-2015,Boston,29.07,945.32,0.0,2566.9
01-03-2015,Boston,8.47,932.5,0.0,3024.12
22-02-2015,Boston,75.83,1062.64,0.0,3325.89
15-02-2015,Boston,18.98,678.93,0.0,2271.95
08-02-2015,Boston,15.18,948.71,0.0,3098.29
01-02-2015,Boston,12.18,1308.94,0.0,2943.85
25-01-2015,Boston,3.14,760.39,0.0,1948.28
18-01-2015,Boston,4.22,834.34,0.0,2209.34
11-01-2015,Boston,12.82,956.07,0.0,2217.82
04-01-2015,Boston,8.66,939.43,0.0,2192.13
27-12-2015,BuffaloRochester,0.0,166.37,0.0,5043.15
20-12-2015,BuffaloRochester,2.37,151.73,0.0,5314.55
13-12-2015,BuffaloRochester,0.0,130.62,0.0,4317.94
06-12-2015,BuffaloRochester,17.41,102.56,0.0,2544.92
29-11-2015,BuffaloRochester,16.57,129.95,0.0,2261.52
22-11-2015,BuffaloRochester,13.08,119.86,0.0,2626.33
15-11-2015,BuffaloRochester,2.38,117.99,0.0,1852.24
08-11-2015,BuffaloRochester,2.38,141.17,0.0,4031.98
01-11-2015,BuffaloRochester,14.25,92.6,0.0,2738.24
25-10-2015,BuffaloRochester,20.19,123.59,0.0,3021.45
18-10-2015,BuffaloRochester,14.26,159.32,0.0,3334.38
11-10-2015,BuffaloRochester,16.64,47.43,0.0,4176.1
04-10-2015,BuffaloRochester,29.73,177.18,0.0,3447.03
27-09-2015,BuffaloRochester,10.71,71.37,0.0,1477.67
20-09-2015,BuffaloRochester,33.31,127.31,0.0,3291.61
13-09-2015,BuffaloRochester,19.04,139.85,0.0,4265.98
06-09-2015,BuffaloRochester,14.28,92.4,0.0,5283.38
30-08-2015,BuffaloRochester,21.42,124.01,0.0,1771.59
23-08-2015,BuffaloRochester,19.03,181.17,0.0,3681.62
16-08-2015,BuffaloRochester,46.05,154.22,0.0,716.29
09-08-2015,BuffaloRochester,30.97,188.59,0.0,2743.42
02-08-2015,BuffaloRochester,78.56,154.19,0.0,3348.4
26-07-2015,BuffaloRochester,80.0,154.75,0.0,3413.88
19-07-2015,BuffaloRochester,56.05,123.39,0.0,1728.99
12-07-2015,BuffaloRochester,90.49,103.52,0.0,614.3
05-07-2015,BuffaloRochester,70.11,149.73,0.0,1439.39
28-06-2015,BuffaloRochester,49.83,125.23,0.0,3567.3
21-06-2015,BuffaloRochester,56.78,126.69,0.0,1187.71
14-06-2015,BuffaloRochester,71.91,137.92,0.0,3436.93
07-06-2015,BuffaloRochester,45.84,167.38,0.0,4777.04
31-05-2015,BuffaloRochester,42.61,173.27,0.0,5018.44
24-05-2015,BuffaloRochester,33.04,169.92,0.0,5016.96
17-05-2015,BuffaloRochester,30.55,196.22,0.0,5111.52
10-05-2015,BuffaloRochester,32.79,183.76,0.0,2161.08
03-05-2015,BuffaloRochester,63.02,168.13,0.0,3647.7
26-04-2015,BuffaloRochester,29.08,204.73,0.0,2560.97
19-04-2015,BuffaloRochester,38.27,156.12,0.0,2731.48
12-04-2015,BuffaloRochester,30.13,145.17,0.0,3473.94
05-04-2015,BuffaloRochester,16.21,131.49,0.0,2585.22
29-03-2015,BuffaloRochester,13.88,128.39,0.0,1642.66
22-03-2015,BuffaloRochester,0.0,147.63,0.0,530.96
15-03-2015,BuffaloRochester,4.64,130.35,0.0,712.4
08-03-2015,BuffaloRochester,9.28,94.74,0.0,2163.15
01-03-2015,BuffaloRochester,17.44,126.08,0.0,3520.47
22-02-2015,BuffaloRochester,32.64,92.08,0.0,5821.39
15-02-2015,BuffaloRochester,12.86,123.93,0.0,1269.74
08-02-2015,BuffaloRochester,24.6,115.96,0.0,3414.8
01-02-2015,BuffaloRochester,18.78,102.35,0.0,2808.55
25-01-2015,BuffaloRochester,16.46,90.53,0.0,1480.91
18-01-2015,BuffaloRochester,91.85,137.49,0.0,1426.87
11-01-2015,BuffaloRochester,0.0,143.51,0.0,2078.49
04-01-2015,BuffaloRochester,0.0,59.82,0.0,379.82
27-12-2015,California,14306.68,50893.97,0.0,98576.63
20-12-2015,California,12746.47,48195.95,1.52,99793.55
13-12-2015,California,13609.24,46518.56,3.05,98605.4
06-12-2015,California,17839.96,47527.65,1.53,91211.53
29-11-2015,California,13195.19,48229.29,0.0,83415.54
22-11-2015,California,14803.41,51282.8,0.0,89062.36
15-11-2015,California,16244.94,59089.47,0.0,97265.23
08-11-2015,California,17074.6,62469.04,0.0,101320.15
01-11-2015,California,20050.21,63408.14,0.0,104331.19
25-10-2015,California,20902.94,66867.39,0.0,103918.03
18-10-2015,California,15960.2,48820.15,3.09,73799.28
11-10-2015,California,14400.49,48933.21,3.1,70004.38
04-10-2015,California,18414.61,57015.39,0.0,81751.48
27-09-2015,California,20639.23,50992.3,0.0,80734.58
20-09-2015,California,28489.91,60941.41,0.0,94267.54
13-09-2015,California,34760.74,54821.89,0.0,95230.68
06-09-2015,California,23875.92,56393.97,0.0,88963.61
30-08-2015,California,23449.1,55879.18,0.0,90125.42
23-08-2015,California,30454.79,63850.97,3.11,107431.24
16-08-2015,California,24630.76,52035.43,0.0,90240.43
09-08-2015,California,23147.23,52640.84,0.0,86211.24
02-08-2015,California,26067.67,54133.2,0.0,89435.6
26-07-2015,California,31604.24,57990.08,0.0,98449.84
19-07-2015,California,33422.15,59794.77,0.0,103081.23
12-07-2015,California,45482.88,60702.07,3.11,115063.87
05-07-2015,California,50367.92,74571.56,18.66,135522.65
28-06-2015,California,46841.35,61727.62,0.0,116913.79
21-06-2015,California,51294.9,55597.45,3.09,116908.54
14-06-2015,California,51607.99,54937.64,43.18,116322.44
07-06-2015,California,49301.79,52704.34,6.16,114406.15
31-05-2015,California,52846.87,53628.31,0.0,119999.12
24-05-2015,California,60597.97,63560.02,0.0,135543.89
17-05-2015,California,65830.84,56261.16,0.0,133759.31
10-05-2015,California,77103.7,70434.57,0.0,160570.28
03-05-2015,California,54176.97,51542.88,0.0,119059.56
26-04-2015,California,63539.73,51223.93,0.0,128166.45
19-04-2015,California,55948.06,57078.01,1.49,123851.34
12-04-2015,California,59861.05,49554.48,0.0,119549.28
05-04-2015,California,57082.3,51295.72,0.0,120814.24
29-03-2015,California,56829.47,44390.86,0.0,111423.89
22-03-2015,California,64969.37,40012.49,0.0,112284.57
15-03-2015,California,65441.32,21855.14,0.0,94419.17
08-03-2015,California,75016.11,21619.82,0.0,108346.9
01-03-2015,California,178033.64,59786.79,0.0,250298.58
22-02-2015,California,102232.31,25715.73,0.0,136421.88
15-02-2015,California,85444.97,21689.75,0.0,116499.36
08-02-2015,California,94440.9,24587.9,0.0,132790.41
01-02-2015,California,142332.45,41999.51,2.92,196031.9
25-01-2015,California,80952.24,28216.13,0.0,121698.02
18-01-2015,California,123138.29,58616.16,0.0,195207.6
11-01-2015,California,123712.51,25975.27,1.47,158110.68
04-01-2015,California,107490.73,25711.96,2.93,142349.77
27-12-2015,Charlotte,389.52,1416.49,682.38,2948.39
20-12-2015,Charlotte,326.79,1462.14,604.87,2940.47
13-12-2015,Charlotte,321.35,1353.35,527.18,2720.17
06-12-2015,Charlotte,162.31,1278.07,577.56,2487.94
29-11-2015,Charlotte,142.69,1404.09,638.12,2617.44
22-11-2015,Charlotte,234.13,1454.12,728.78,2798.21
15-11-2015,Charlotte,244.63,1295.86,828.52,3002.61
08-11-2015,Charlotte,332.85,1195.59,751.01,3103.1
01-11-2015,Charlotte,317.46,1300.88,1100.02,3507.63
25-10-2015,Charlotte,342.3,1551.67,1123.58,3851.01
18-10-2015,Charlotte,336.37,1394.0,1143.22,3681.19
11-10-2015,Charlotte,253.41,1370.54,1016.7,3614.95
04-10-2015,Charlotte,337.52,1218.57,808.84,3480.18
27-09-2015,Charlotte,291.76,1201.29,867.01,2965.81
20-09-2015,Charlotte,307.22,1181.6,842.48,4103.72
13-09-2015,Charlotte,327.06,1255.8,928.56,3992.43
06-09-2015,Charlotte,250.27,1331.42,1018.35,4259.63
30-08-2015,Charlotte,274.43,1401.28,1025.96,4203.2
23-08-2015,Charlotte,272.26,1766.07,1193.83,4602.39
16-08-2015,Charlotte,150.98,1496.03,1269.58,4279.91
09-08-2015,Charlotte,374.39,2116.41,1410.55,4920.3
02-08-2015,Charlotte,358.91,1441.63,1083.55,3977.77
26-07-2015,Charlotte,228.17,1265.39,861.44,3206.72
19-07-2015,Charlotte,199.61,1516.86,1018.6,3885.45
12-07-2015,Charlotte,287.98,1458.03,1144.44,3962.07
05-07-2015,Charlotte,278.99,1514.86,1196.67,3669.96
28-06-2015,Charlotte,414.23,1740.69,1016.64,3823.73
21-06-2015,Charlotte,336.07,1506.6,1081.37,3425.95
14-06-2015,Charlotte,325.75,1432.84,1059.26,4040.75
07-06-2015,Charlotte,278.55,1378.4,1159.44,4369.42
31-05-2015,Charlotte,335.32,1524.77,1348.57,4092.07
24-05-2015,Charlotte,405.0,1601.85,1473.53,4774.56
17-05-2015,Charlotte,476.58,4780.37,4975.49,11088.2
10-05-2015,Charlotte,465.84,1282.98,1191.26,4245.72
03-05-2015,Charlotte,265.21,1499.19,1856.14,4635.16
26-04-2015,Charlotte,295.75,1054.18,1150.52,3471.08
19-04-2015,Charlotte,234.0,1311.9,1400.1,4163.99
12-04-2015,Charlotte,255.73,1460.35,1256.22,3870.58
05-04-2015,Charlotte,303.66,1235.08,1127.82,3643.37
29-03-2015,Charlotte,267.8,1467.6,1227.69,3493.98
22-03-2015,Charlotte,329.84,1603.42,1221.87,4289.1
15-03-2015,Charlotte,205.39,1300.42,1102.84,3890.97
08-03-2015,Charlotte,215.98,1312.61,1163.42,4143.11
01-03-2015,Charlotte,189.99,1371.06,1099.96,3545.33
22-02-2015,Charlotte,198.13,1119.06,992.87,3180.29
15-02-2015,Charlotte,219.08,1098.75,1056.49,3125.59
08-02-2015,Charlotte,188.23,1382.91,1092.82,4011.02
01-02-2015,Charlotte,210.49,1244.18,1457.98,3557.34
25-01-2015,Charlotte,347.67,956.65,920.11,2694.11
18-01-2015,Charlotte,346.76,744.32,766.41,2697.81
11-01-2015,Charlotte,155.92,969.82,832.7,2390.22
04-01-2015,Charlotte,151.7,882.52,905.77,2965.62
27-12-2015,Chicago,1064.71,19320.66,0.0,20995.37
20-12-2015,Chicago,730.65,21574.99,0.0,22452.3
13-12-2015,Chicago,876.48,23109.9,0.0,24059.71
06-12-2015,Chicago,819.66,26104.8,0.0,27081.13
29-11-2015,Chicago,457.29,21677.7,0.0,22168.32
22-11-2015,Chicago,716.68,23255.65,0.0,24095.66
15-11-2015,Chicago,609.3,24890.06,0.0,25759.36
08-11-2015,Chicago,643.23,24713.93,0.0,26247.16
01-11-2015,Chicago,936.9,23373.58,0.0,24450.48
25-10-2015,Chicago,1033.01,21495.92,0.0,22648.93
18-10-2015,Chicago,1237.5,18374.81,0.0,19818.98
11-10-2015,Chicago,933.6,18480.44,0.0,19520.71
04-10-2015,Chicago,787.1,19394.87,0.0,20398.64
27-09-2015,Chicago,1213.4,23051.69,0.0,24311.76
20-09-2015,Chicago,1188.26,25203.64,0.0,26935.23
13-09-2015,Chicago,985.56,26008.45,0.0,27327.18
06-09-2015,Chicago,1283.81,26272.22,0.0,28269.21
30-08-2015,Chicago,1065.92,29017.63,0.0,30663.55
23-08-2015,Chicago,1517.15,29613.04,0.0,31623.52
16-08-2015,Chicago,1142.46,27912.51,0.0,29458.3
09-08-2015,Chicago,1173.62,26743.66,0.0,28253.94
02-08-2015,Chicago,614.02,26526.91,0.0,27490.93
26-07-2015,Chicago,401.96,25320.55,0.0,26098.32
19-07-2015,Chicago,562.05,18741.42,0.0,19677.2
12-07-2015,Chicago,253.02,18087.09,0.0,18945.72
05-07-2015,Chicago,186.43,18998.53,0.0,19704.96
28-06-2015,Chicago,576.78,18163.91,0.0,18877.36
21-06-2015,Chicago,655.45,15171.04,0.0,16136.49
14-06-2015,Chicago,502.87,17175.28,0.0,18374.82
07-06-2015,Chicago,857.74,18325.17,0.0,19636.24
31-05-2015,Chicago,599.1,17156.71,0.0,18625.81
24-05-2015,Chicago,552.15,19632.59,0.0,20871.17
17-05-2015,Chicago,201.46,24405.82,0.0,24727.46
10-05-2015,Chicago,455.63,23858.81,0.0,27146.38
03-05-2015,Chicago,672.05,26198.44,0.0,27210.49
26-04-2015,Chicago,920.16,30398.61,0.0,31932.1
19-04-2015,Chicago,614.18,25888.63,0.0,27489.48
12-04-2015,Chicago,722.16,86707.64,0.0,88346.47
05-04-2015,Chicago,112.46,20035.04,0.0,21064.17
29-03-2015,Chicago,119.66,14605.4,0.0,15545.06
